domain,alive,homepage_kb,internal_links,indexed_pages_est,visitors_est_monthly
baku-dental.az,True,5.35,0,13,134
baku-karting.az,True,295.18,91,1044,82725
baku-rentacar.az,False,0.0,0,1,1
baku3d.az,True,186.04,1,415,13598
bakuagency.az,True,122.13,47,381,14679
bakuagropark.az,True,66.46,8,166,4026
bakuairporttransfer.az,True,32.48,0,71,1012
bakuart.az,True,122.95,2,281,7406
bakuartweekend.az,True,4.39,0,10,104
bakuautomall.az,True,43.0,0,94,1431
bakubarbeku.az,True,32.45,2,75,1329
bakubay.az,True,0.16,0,1,9
bakubears.az,False,0.0,0,1,1
bakubike.az,True,0.16,0,1,9
bakubina.az,True,0.0,0,1,10
bakubookcenter.az,True,116.88,290,554,23858
bakubookfair.az,True,44.48,76,152,4229
bakubuild.az,True,47.09,107,173,4637
bakubuilding.az,True,23.16,26,67,1387
bakubus.az,True,40.32,59,132,3254
bakucar.az,True,120.07,372,612,32023
bakucard.az,True,3.4,0,8,78
bakucarpetfest.az,True,20.27,24,58,1089
bakucarrental.az,True,88.08,0,191,3467
bakucars.az,True,94.22,1,211,4209
bakucaspi.az,True,0.44,0,2,18
bakucaviar.az,True,83.78,64,277,10147
bakuccino.az,True,2.11,1,6,73
bakucctv.az,True,90.13,116,337,12465
bakuchat.az,True,8.44,0,19,221
bakucheckupmerkezi.az,True,175.27,16,467,20282
bakuchem.az,True,15.99,0,36,439
bakucinemabreeze.az,True,0.44,0,2,19
bakucity.az,True,359.18,123,1359,121862
bakucitycircuit.az,True,25.82,26,74,1660
bakucityhospital.az,False,0.0,0,1,1
bakucitytour.az,False,0.0,0,1,1
bakucitytours.az,True,88.04,27,252,7597
bakucityvillas.az,True,109.38,0,237,4953
bakuclimateactionweek.az,True,0.16,0,1,10
bakuclinic.az,False,0.0,0,1,1
bakucode.az,True,0.0,0,1,10
bakucodecenter.az,True,0.0,0,1,9
bakucodeschool.az,True,0.0,0,1,10
bakucoffee.az,False,0.0,0,1,1
bakucomp.az,False,0.0,0,1,1
bakuconcept.az,False,0.0,0,1,1
bakucontainer.az,True,165.34,0,358,8588
bakucorner.az,False,0.0,0,1,1
bakuculture.az,False,0.0,0,1,1
bakudanceevent.az,True,7.68,9,20,285
bakuderma.az,True,143.15,31,417,15724
bakudez.az,True,147.71,24,415,18389
bakudistribution.az,False,0.0,0,1,1
bakudoors.az,True,91.22,0,198,3753
bakudrilling.az,True,68.1,75,232,7584
bakudriverservice.az,False,0.0,0,1,1
bakudry.az,True,142.06,8,353,13526
bakuee.az,True,49.85,57,161,4402
bakuelectronics.az,True,68.63,48,215,6924
bakuemlak.az,False,0.0,0,1,1
bakuenergy.az,True,37.52,0,82,1123
bakuenergyforum.az,True,44.22,90,157,4327
bakuengineering.az,True,101.84,39,308,9908
bakues.az,True,233.7,270,1084,82390
bakueurolyceum.az,False,0.0,0,1,1
bakuev.az,True,168.53,8,419,16951
bakuevent.az,False,0.0,0,1,1
bakuevents.az,True,84.33,67,281,10059
bakuexpertgroup.az,False,0.0,0,1,1
bakuexpo.az,True,198.82,36,592,32680
bakuexpocenter.az,True,3.45,1,9,112
bakuexport.az,True,33.52,29,97,2059
bakuexpress.az,True,3.27,0,8,82
bakuextreme.az,True,751.36,0,1624,127696
bakufakt.az,True,44.72,94,160,4632
bakufashionweek.az,True,8.67,0,20,219
bakuflames.az,True,216.15,28,620,35620
bakuforum.az,True,3.02,0,8,79
bakugp.az,True,25.82,26,74,1527
bakugrandhotel.az,True,30.11,35,90,2166
bakuguide.az,True,1.49,0,4,43
bakugymschool.az,True,0.16,0,1,9
bakuheartdays.az,True,298.76,33,877,64735
bakuhitfm.az,True,83.86,2,192,3885
bakuholiday.az,True,194.89,26,553,26318
bakuholidays.az,False,0.0,0,1,1
bakuhost.az,True,0.05,0,1,10
bakuhotelganja.az,True,34.05,31,100,2046
bakuhouse.az,False,0.0,0,1,1
bakuinform.az,True,63.46,158,256,8540
bakujobs.az,True,2.59,0,7,72
bakulifemagazine.az,True,147.37,164,599,27193
bakuluxtravel.az,True,74.27,33,219,6834
bakum.az,True,2.97,2,8,100
bakumania.az,True,4.96,0,12,119
bakumarathonclub.az,True,3.33,0,8,80
bakumarket.az,False,0.0,0,1,1
bakumarshalsclub.az,True,1.92,1,5,63
bakumedia.az,True,109.14,103,397,15233
bakumedtravel.az,True,81.93,56,264,7983
bakumetal.az,True,813.68,0,1759,166687
bakumotoclub.az,True,794.44,44,2443,348746
bakunews.az,True,58.0,115,217,6482
bakunights.az,False,0.0,0,1,1
bakuorme.az,True,38.34,40,117,3080
bakupack.az,True,38.11,36,114,2553
bakupan.az,True,259.55,4,613,26709
bakupearl.az,False,0.0,0,1,1
bakuplus.az,True,112.77,147,446,18625
